name,poi_id,cate,lat,lng,COMMUNITY,AREA_NUMBE
,408462,catering,41.8763799,-87.6965526,EAST GARFIELD PARK,27.0
Popeyes,409283,catering,41.8826856,-87.6868157,NEAR WEST SIDE,28.0
New China Restaurant,411184,catering,41.9032543,-87.688621,WEST TOWN,24.0
Guerrero's Tacos and Pizza,411536,catering,41.903176,-87.6908961,WEST TOWN,24.0
La Bruquena,412357,catering,41.9032101,-87.6955715,WEST TOWN,24.0
Taco el Jalisciense,412507,catering,41.895484,-87.6992252,HUMBOLDT PARK,23.0
Irazu,416648,catering,41.9155178,-87.6850805,LOGAN SQUARE,22.0
Arturo's Tacos,416979,catering,41.9176963,-87.6870746,LOGAN SQUARE,22.0
Los Fuentes,416982,catering,41.9177963,-87.6870793,LOGAN SQUARE,22.0
The Art of Chicken,417089,catering,41.9187787,-87.6871374,LOGAN SQUARE,22.0
Red Hot Ranch,417216,catering,41.9198218,-87.6877907,LOGAN SQUARE,22.0
Taqueria Chingon,417811,catering,41.9226859,-87.6878151,LOGAN SQUARE,22.0
Victory Grill,417911,catering,41.92156,-87.695694,LOGAN SQUARE,22.0
Don Chema,418196,catering,41.9237343,-87.6971393,LOGAN SQUARE,22.0
Sam's Red Hots,418301,catering,41.9174656,-87.6866346,LOGAN SQUARE,22.0
Parson's Chicken & Fish,419334,catering,41.9176431,-87.7013286,LOGAN SQUARE,22.0
Fat Willy’s Rib Shack,422477,catering,41.9304633,-87.6887118,LOGAN SQUARE,22.0
Marcello's Father & Son Restaurant,422849,catering,41.9266301,-87.7028387,LOGAN SQUARE,22.0
Fat Rice,424053,catering,41.9319334,-87.7021624,LOGAN SQUARE,22.0
Niko's Gyros,424055,catering,41.9319287,-87.6869075,LOGAN SQUARE,22.0
Golden Nugget,424070,catering,41.9323133,-87.6883781,AVONDALE,21.0
90 Miles,425361,catering,41.9379948,-87.6857844,NORTH CENTER,5.0
Taco Bell / KFC,428738,catering,41.9537433,-87.6986111,IRVING PARK,16.0
Cascabel Taco Joint,428835,catering,41.9537186,-87.702392,IRVING PARK,16.0
Cafe Tola,429096,catering,41.9426632,-87.6981655,AVONDALE,21.0
Hero's Sub Shop,429485,catering,41.946856,-87.6885226,NORTH CENTER,5.0
Reclaimed Bar and Restaurant,429812,catering,41.9483491,-87.6880308,NORTH CENTER,5.0
Bistro Campagne,436583,catering,41.9636366,-87.6856444,LINCOLN SQUARE,4.0
Baobab Bbq,441431,catering,41.9757638,-87.6869348,LINCOLN SQUARE,4.0
Eastern Style Pizza,453988,catering,42.0118221,-87.7025965,WEST RIDGE,2.0
The Main Pizza / Chalavi,454145,catering,42.0117418,-87.7033928,WEST RIDGE,2.0
Western Tacos,483299,catering,41.7632542,-87.6827846,CHICAGO LAWN,66.0
Taco Bell,497193,catering,41.809254,-87.6753243,NEW CITY,61.0
Chilango Mexican Street Food,507138,catering,41.8691389,-87.6631225,NEAR WEST SIDE,28.0
Conte Di Savolia,507141,catering,41.8695106,-87.6633085,NEAR WEST SIDE,28.0
Pompeii,507299,catering,41.8690714,-87.6654152,NEAR WEST SIDE,28.0
El Taco Veloz,510339,catering,41.8957685,-87.6714449,WEST TOWN,24.0
Breakfast House,510386,catering,41.891091,-87.6721802,WEST TOWN,24.0
El Barco Mariscos,512809,catering,41.9007457,-87.6670703,WEST TOWN,24.0
The Frontier,513020,catering,41.901199,-87.6635824,WEST TOWN,24.0
Podhalanka,513706,catering,41.9030468,-87.6670464,WEST TOWN,24.0
Pizza Metro,513762,catering,41.9030367,-87.6702809,WEST TOWN,24.0
Takie Outit,514288,catering,41.8960504,-87.6808769,WEST TOWN,24.0
Harold's Chicken Shack,517180,catering,41.9067241,-87.6713419,WEST TOWN,24.0
Pot Pan,517185,catering,41.9064438,-87.6717369,WEST TOWN,24.0
Smoke Daddy BBQ - Wicker Park,517384,catering,41.9035254,-87.6727802,WEST TOWN,24.0
,518308,catering,41.9074493,-87.6672337,WEST TOWN,24.0
Cumin,518317,catering,41.907495,-87.673386,WEST TOWN,24.0
Big Star,518785,catering,41.9091757,-87.6771218,WEST TOWN,24.0
Bloom Plant Based Kitchen,518903,catering,41.9099866,-87.676335,WEST TOWN,24.0
Hollywood Grill,518919,catering,41.9104763,-87.6679293,WEST TOWN,24.0
Pork & Mindy’s,519046,catering,41.9110789,-87.6780861,WEST TOWN,24.0
Wingstop,519224,catering,41.911313,-87.6785002,WEST TOWN,24.0
Chopper's,519361,catering,41.9122926,-87.6674884,WEST TOWN,24.0
Mindy's Hot Chocolate,519769,catering,41.9136795,-87.6771955,WEST TOWN,24.0
Miko's Italian Ice,520175,catering,41.9152284,-87.6778216,LOGAN SQUARE,22.0
Lillie's Q,520233,catering,41.9107201,-87.674864,WEST TOWN,24.0
Chop Shop,520912,catering,41.9101566,-87.6787755,WEST TOWN,24.0
Knife & Tine,524317,catering,41.9249837,-87.6640366,LINCOLN PARK,7.0
Warehouse,524327,catering,41.9249859,-87.6641245,LINCOLN PARK,7.0
Tony's Burrito Mex,525787,catering,41.9394092,-87.678187,NORTH CENTER,5.0
The Squared Circle,526195,catering,41.9257708,-87.6685551,LINCOLN PARK,7.0
Asian Cajun,526231,catering,41.9260437,-87.6685622,LINCOLN PARK,7.0
Que Rico,527079,catering,41.9329854,-87.6639443,LAKE VIEW,6.0
Flo,527218,catering,41.9343576,-87.6681479,LAKE VIEW,6.0
S&G Restaurant,527471,catering,41.9362514,-87.6641846,LAKE VIEW,6.0
Breakfast House,527472,catering,41.9361787,-87.6681553,LAKE VIEW,6.0
,527486,catering,41.9363165,-87.6644447,LAKE VIEW,6.0
Scooter's Frozen Custard,527837,catering,41.9398703,-87.6708907,LAKE VIEW,6.0
Dunkin',532330,catering,41.9467395,-87.6732121,LAKE VIEW,6.0
D'Agostino's Pizza and Pub Wrigleyville,533449,catering,41.9469011,-87.6636556,LAKE VIEW,6.0
,539259,catering,41.9612965,-87.6664048,LAKE VIEW,6.0
Byron's Hot Dogs,542076,catering,41.9686771,-87.6712636,UPTOWN,3.0
Golden Nugget Pancake House,542111,catering,41.9686406,-87.6738909,UPTOWN,3.0
Polygon Cafe,545565,catering,41.9764593,-87.6686792,EDGEWATER,77.0
Andie's,545720,catering,41.9777208,-87.6680738,EDGEWATER,77.0
Reza's,545736,catering,41.9778966,-87.6681101,EDGEWATER,77.0
Calo Ristorante,545887,catering,41.9793398,-87.6679443,EDGEWATER,77.0
Land & Lake Andersonville,548263,catering,41.9804777,-87.6685845,EDGEWATER,77.0
McDonald's,548555,catering,41.9839441,-87.669255,EDGEWATER,77.0
Sebastian’s Coffee and Bakery,553001,catering,42.0039287,-87.6728609,ROGERS PARK,1.0
Subway,554991,catering,42.0125066,-87.6639728,ROGERS PARK,1.0
Antico Pizza,555448,catering,42.0158362,-87.6698909,ROGERS PARK,1.0
Captian Nemo,555706,catering,42.0161024,-87.6740054,ROGERS PARK,1.0
,584948,catering,41.7472805,-87.6443716,AUBURN GRESHAM,71.0
,613608,catering,41.8309112,-87.6536476,BRIDGEPORT,60.0
The Adelitas Mexican Restaurant,616234,catering,41.8331616,-87.6507722,BRIDGEPORT,60.0
